what is match point?,tennis,
how many sets in a match?,tennis,
what's the fastest serve ever?,tennis,
where is wimbledon?,tennis,
what is roland garros?,tennis,
what tournaments make up the grand slam?,tennis,
how do you volley for serve?,tennis,
where is the US open played?,tennis,
what tournament does Queen Elizabeth attend?,tennis,
how did Kramer become a ball boy?,tennis,
why do women play fewer sets than men?,tennis,
what's the fastest match ever?,tennis,
what's the difference between clay and grass courts?,tennis,
what tournaments are on clay courts?,tennis,
who did Billie Jean King play in the Astrodome?,tennis,
why don't they play tennis in the rain?,tennis,
where can I improve my backhand?,tennis,
what's the baseline?,tennis,
how big is the court for doubles?,tennis,
how much does the wimbledon winner earn?,tennis,
what are doubles?,tennis,
how do I get a double fault?,tennis,
how many serve attempts do I get? ,tennis,
why does the server call out the score?,tennis,
who can score on a serve?,tennis,
how many times can a ball bounce during a rally?,tennis,
what's the blue line?,hockey,
is tripping a major penalty?,hockey,
how many goals in a hat trick?,hockey,
what does it mean when the gloves come off?,hockey,
has anyone ever been stabbed with a skate?,hockey,
how fast is a slapshot?,hockey,
what is Canada's favorite sport?,hockey,
what was the miracle on ice?,hockey,
when did hockey become an olympic sport?,hockey,
when did players start wearing helmets?,hockey,football
what is a power play?,hockey,
what is hooking?,hockey,
how long is overtime?,hockey,
who is the Great One?,hockey,
can you explain icing?,hockey,
what team has the greatest logo?,hockey,
when will Hartford get a new team?,hockey,
what is Brass Bonanza?,hockey,
who were the original six teams?,hockey,
what happened to the Cleveland Barons?,hockey,
what happened to the California Golden Seals?,hockey,
what is a puck made of?,hockey,
how long should my stick be?,hockey,
what's the penalty box?,hockey,
what's the sin bin?,hockey,
who won the stanley cup in 1993?,hockey,
what's the national sport of Canada?,hockey,
what sport did Happy Gilmore play?,hockey,
who was Brett Hull?,hockey,
who is Wayne Gretzky?,hockey,
what sport did the Atlanta Thrashers play?,hockey,
"what team is better, the islanders or rangers?",hockey,
who is Sid the Kid?,hockey,
what's the minimum salary in the NHL?,hockey,
when did the NHL go on strike?,hockey,
how does offsides work?,football,hockey
how does pass interference work?,football,
what is offsides?,football,hockey
what is a touchback?,football,
how many points for a safety?,football,
how bad is a concussion?,football,
where do kickoffs start at?,football,
how long is a football field?,football,
what is an illegal block in the back?,football,
what's the longest punt ever?,football,
what's the longest field goal ever?,football,
how often is a kickoff ran back for a touchdown?,football,
what gets a penalty for excessive celebration?,football,
what fans once booed santa?,football,
who has deflated balls?,football,
what sport leads in concussions?,football,
what sport do the Patriots play?,football,
who is Green Bay's rival?,football,
where is pro Bowl played?,football,
what sports can end in a tie?,football,
where is the super bowl?,football,
who won the NFC wildcard in 1993?,football,
what sport does Payton Manning play?,football,
what sport is missing from Los Angeles?,football,
who starred in The Waterboy?,football,
who sport did John Madden coach?,football,
ditka?,football,
what does a tight end do?,football,
is a cornerback on offense or defense?,football,
how many points is a field goal?,football,
where does the extra point kick from?,football,
what's a two point conversion?,football,
what'ss a replacement ref?,football,
what's a fumble?,football,
why can't I do a forward lateral?,football,
